Date,ID,Na,Mg,Al,Si,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Pb,BC,PM 2.5
12/6/2017/,89k,0.133131313046649,0.0259753385623365,0.0246648084389396,0.0568149738098991,0.806379851346626,0.0258875054273134,0.0551462205934096,0.00235514992107179,0.00388987359555937,0.00236078466580344,0.00114639142253247,0.0504859810164134,0.000983846698520614,0.00136626548333323,0.0046296183468343,0.00229078523803512,0.00232524534153083,3.78983427928157,8.69123919310538
14/6/2017/,90k,0.186006426509337,0.044209784181351,0.0581760492692917,0.129180877603035,1.13052972207207,0.0519510661840699,0.166506311468277,0.00306153339021209,0.0020090964770496,0.000991241458432592,0.0011646419783716,0.0702003626434556,0.000780225832931559,0.00231197131926368,0.00771690856790203,0.00206467713635955,0.00303142738395016,2.84995740256365,10.6453272056093
16/6/2017/,91k,0.160998145650093,0.0407500203811242,0.0587364846068379,0.130189047413326,1.7088681897234,0.0392519261552541,0.0744232457227745,0.00365243700993299,0.00888122149430759,0.00271967193593637,0.00110160202916362,0.0791748323032462,0.0028716213048815,0.00237318029470016,0.00669746076761104,0.00311092363322745,0.00319097846719039,3.74754429725209,14.2127105849954
18/6/2017/,92k,0.168887807383555,0.0296589085554176,0.0260681246860209,0.0636962181488041,0.664162625108675,0.0253129118042501,0.0499650427202149,0.00254389033849719,0.00217061656074067,0.00136201869022817,0.0010424556114904,0.0415218142440594,0.000801108712746429,0.00122770960790181,0.00464071194607007,0.00146893001948867,0.00038081636028198,2.82939711986757,5.52716522749826
20/6/2017/,93k,0.102089193903158,0.0256519943839339,0.0347386929941916,0.0819492126690026,1.06040982074498,0.0303131912993721,0.0855222425368166,0.00244304025464497,0.00504880142426925,0.00151191328380143,0.000394485769979051,0.0547592597219785,0.00239440032726603,0.00206579666939882,0.0072973216406253,0.00276411322389716,0.00299375086163079,3.57512060164853,10.5326414217767
22/6/2017/,94k,0.0737469657787958,0.0204345934809547,0.0527897049998778,0.127540803937724,1.19676218835414,0.0401866064112212,0.0925697215791113,0.00339682823081465,0.00590230404120998,0.00145067012720029,0.00149165896853052,0.0876331174052778,0.00251964627531807,0.00292806573450517,0.00633283385646481,0.00372381103112302,0.00216887732583253,3.92619561693043,11.1280787196384
24/6/2017/,95k,0.138010963505768,0.035736085862981,0.0788176440791177,0.190967199569015,2.01194222851308,0.0494181639539115,0.0981361572169671,0.00471638212602008,0.00794243585165106,0.00156990976118002,0.000814438244506395,0.092608457944792,0.00280798444286897,0.00293079592846251,0.00857926621926253,0.00461234539832182,0.00297096759750859,3.43727265534351,16.9671344655159
26/6/2017/,96k,0.0410264467370894,0.0191564655244771,0.0844467392194447,0.182953530588999,0.621044099035199,0.0280089426115048,0.0593096513148665,0.00450313506364796,0.00351750857771346,0.000765864672965972,0.000137906425889699,0.0689036998602785,0.00169266776082132,0.00124970106404986,0.00375190418989279,0.00159172405773801,0.00090032814861387,1.93228753316018,7.36411320353631
28/6/2017/,97k,0.519920287948723,0.10384772594579,0.198636428433723,0.416411489584072,1.95811196943592,0.102535803412436,0.110981523123813,0.0107367901591067,0.0195713023981752,0.00119912711734679,0.00157954040791541,0.10427094453291,0.0143646010157481,0.00231875082277634,0.0055226851561566,0.00394648413003459,0.00267190235425439,3.61615612891142,16.6684607017944
30/6/2017/,98k,0.265875471430492,0.0471371076985605,0.0445689825774899,0.0973978019815927,1.85847558737428,0.109157209693846,0.0342297710406772,0.00302313872852594,0.0271235166072272,0.00129805463712579,0.000593562865486423,0.0404136811999643,0.0167212525161146,0.000765628984790758,0.00423207249455361,0.00197891093425152,0.000937115975271933,3.22262975271257,11.3479040421233
2/7/2017/,99k,0.102366986518225,0.0154555106042461,0.00950802303220455,0.0211402607182673,0.378397414235186,0.0129230114272667,0.0212765038637333,0.000552757576578682,0.00170844788160827,0.00123128412603453,0,0.022590804688905,0.000825006199641652,0.00121842825092371,0.00244806399755331,0.0021151892167071,0.001132777006424,1.66045588784888,4.59190057616892
4/7/2017/,100k,0.0311432664847178,0.00832114025838222,0.00984688291093681,0.0319506792695944,0.359964896296693,0.0135329839221511,0.0474639711772906,0.00185432134811807,0.00327037617119989,0.00197157229006048,0.00172564256910307,0.0334548075384817,0.00051418292891441,0.00187269014745289,0.00423154545128329,0.00128159003055418,0.00230497706328327,2.11670081878394,4.86961967895707
6/7/2017/,101k,0.0473813235127433,0.0154405545471086,0.0433399588557259,0.091306387505605,1.30001092466632,0.0226625479910012,0.136853969579052,0.00328238909249376,0.00463959295569832,0.00266358192497125,0.00308534214580131,0.0713804073691901,0.00345720945373954,0.00268085605497594,0.00835088998020522,0.00222067966926763,0.00342826155708808,3.28482400125206,11.7124591283977
8/7/2017/,102k,0.0616986929459156,0.0230229983332558,0.074586396120419,0.187879672757801,1.68583556809949,0.0408653106315996,0.112422191958847,0.00422513588545446,0.00718715123522941,0.00134644939367387,0.00220359989585781,0.07905406053573,0.00440522856795193,0.00250284299295748,0.0135236085615499,0.00355940873097904,0.00303766883298553,3.13834441184506,14.6356713070199
10/7/2017/,103k,0.0923921384641434,0.0315683584145846,0.095205802080472,0.214050271562626,1.46923409568293,0.0699347893173301,0.12199632716843,0.00555548805665651,0.00523073327956594,0.000638134703393415,0.00127825785764658,0.10821612748729,0.00387479696251772,0.00245465121474029,0.00796631615217516,0.00520432257559843,0.00352139809128325,2.59338159991425,13.7312285151046
12/7/2017/,104k,0.163120149376284,0.0448419551471461,0.116950299906077,0.257250012893894,1.10562910219506,0.0589062333013494,0.089153860369765,0.00755763136118133,0.0051753125779106,0.00171050847009676,0.00121436185475651,0.0869887658110445,0.00384387199311546,0.00152864516473199,0.00403984341177239,0.00246837371553699,0.00174110101340277,3.69084331373463,10.3519426103927
14/7/2017/,105k,0.0747829629923154,0.0198659645381098,0.0197505688474522,0.0525661480676096,0.347018246305323,0.0269098577415461,0.0966017676985237,0.00175827717862726,0.000530076369523399,0.00169454095684577,0.00107796799275192,0.0316201924834453,0.000253432684489636,0.0017972020701941,0.00294818193739499,0.00175553172694954,0.00214689731945554,1.82085090525592,4.90699174606231
